product_type	manufacturer	description	link	image_link	id	title	quantity	availability	shipping	mnp	price	condition	brand
Bath & Body	Adidas	Gel douche 250 ml (DEVELOPED WITH THE ATHLETES)	http://www.parfumreduc.com/product_info.php?products_id=286166	http://www.parfumwholesale.com/images/photos/217965.jpg	217965	ADIDAS PURE GAME de Adidas	9	in stock	FR::Standard:14	217965	26.9850	new	ADIDAS PURE GAME
Bath & Body	Adidas	ANTI PERSPIRANT Déodorant Vaporisateur 200 ml (DEVELOPED WITH ATHLETES)	http://www.parfumreduc.com/product_info.php?products_id=286168	http://www.parfumwholesale.com/images/photos/217968.jpg	217968	ADIDAS TEAM FORCE de Adidas	29	in stock	FR::Standard:14	217968	27.3175	new	ADIDAS TEAM FORCE
Fragrances	Adidas	Eau de Toilette Vaporisateur 75 ml	http://www.parfumreduc.com/product_info.php?products_id=347832	http://www.parfumwholesale.com/images/photos/201807.jpg	201807	ADIDAS TROPICAL PASSION de Adidas	50	in stock	FR::Standard:14	201807	33.6350	new	ADIDAS TROPICAL PASSION
Fragrances	Adidas	Eau de Toilette Vaporisateur 100 ml	http://www.parfumreduc.com/product_info.php?products_id=347829	http://www.parfumwholesale.com/images/photos/128802.jpg	128802	ADIDAS TEAM FORCE de Adidas	50	in stock	FR::Standard:14	128802	30.9750	new	ADIDAS TEAM FORCE
Fragrances	Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)	http://www.parfumreduc.com/product_info.php?products_id=347830	http://www.parfumwholesale.com/images/photos/207384.jpg	207384	ADIDAS TEAM FORCE de Adidas	7	in stock	FR::Standard:14	207384	31.6400	new	ADIDAS TEAM FORCE
Fragrances	Adidas	Eau de Toilette Vaporisateur 50 ml	http://www.parfumreduc.com/product_info.php?products_id=347831	http://www.parfumwholesale.com/images/photos/146996.jpg	146996	ADIDAS TROPICAL PASSION de Adidas	50	in stock	FR::Standard:14	146996	30.9750	new	ADIDAS TROPICAL PASSION
Fragrances	Adidas	Eau de Toilette Vaporisateur 100 ml	http://www.parfumreduc.com/product_info.php?products_id=347833	http://www.parfumwholesale.com/images/photos/142088.jpg	142088	ADIDAS VICTORY LEAGUE de Adidas	38	in stock	FR::Standard:14	142088	30.6425	new	ADIDAS VICTORY LEAGUE
Fragrances	Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)	http://www.parfumreduc.com/product_info.php?products_id=347834	http://www.parfumwholesale.com/images/photos/207385.jpg	207385	ADIDAS VICTORY LEAGUE de Adidas	50	in stock	FR::Standard:14	207385	31.6400	new	ADIDAS VICTORY LEAGUE
Fragrances	Adidas	Eau de Toilette Vaporisateur 100 ml (DEVELOPED WITH ATHLETES)	http://www.parfumreduc.com/product_info.php?products_id=385141	http://www.parfumwholesale.com/images/photos/221457.jpg	221457	ADIDAS INTENSE TOUCH de Adidas	30	in stock	FR::Standard:14	221457	31.6400	new	ADIDAS INTENSE TOUCH
Bath & Body	Adidas	DEODORANT Vaporisateur pour le corps 150 ml (DEVELOPED WITH ATHLETES)	http://www.parfumreduc.com/product_info.php?products_id=385249	http://www.parfumwholesale.com/images/photos/217966.jpg	217966	ADIDAS PURE GAME de Adidas	6	in stock	FR::Standard:14	217966	26.3200	new	ADIDAS PURE GAME
