"p.products_id";"products_quantity";"products_model";"products_price";"products_status";"products_ordered";"products_name";"products_description";"products_viewed";"m.manufacturers_name as marque";"p.gender as Gender";"p.gamme";"p.item_size";"p.type as Type";"products_image";"pd.products_id";"EAN";"frais_port"
"347769";"50";"126343";"84.34";"1";"0";"ACQUA DI GIO de Giorgio Armani 126343";"Eau de Toilette Vaporisateur 100 ml";"9";"Giorgio Armani";"Hommes";"ACQUA DI GIO";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126343.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347769";"126343";"14"
"3477691";"50";"1263431";"84.34";"1";"0";"ACQUA DI GIO de Giorgio Armani 1263431";"Eau de Toilette spray 100 ml";"9";"Giorgio Armani";"Hommes";"ACQUA DI GIO";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/126343.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347769";"1263431";"14"
"347770";"50";"121263";"86.5";"1";"0";"ACQUA DI GIO de Giorgio Armani 121263";"Eau de Toilette Vaporisateur 100 ml";"0";"Giorgio Armani";"Femmes";"ACQUA DI GIO";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/121263.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347770";"121263";"14"
"3477701";"50";"1212631";"86.5";"1";"0";"ACQUA DI GIO de Giorgio Armani 1212631";"Eau de Toilette spray 100 ml";"0";"Giorgio Armani";"Femmes";"ACQUA DI GIO";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/121263.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347770";"1212631";"14"
"347771";"50";"127663";"116.66";"1";"0";"ACQUA DI GIO de Giorgio Armani 127663";"Eau de Toilette Vaporisateur 200 ml";"1";"Giorgio Armani";"Hommes";"ACQUA DI GIO";"200 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/127663.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347771";"127663";"14"
"3477711";"50";"1276631";"116.66";"1";"0";"ACQUA DI GIO de Giorgio Armani 1276631";"Eau de Toilette spray 200 ml";"1";"Giorgio Armani";"Hommes";"ACQUA DI GIO";"200 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/127663.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347771";"1276631";"14"
"347772";"50";"202811";"61.72";"1";"0";"ACQUA DI GIOIA de Giorgio Armani 202811";"Eau de Parfum Vaporisateur 50 ml";"0";"Giorgio Armani";"Femmes";"ACQUA DI GIOIA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/202811.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347772";"202811";"14"
"3477721";"50";"2028111";"61.72";"1";"0";"ACQUA DI GIOIA de Giorgio Armani 2028111";"Eau de Parfum spray 50 ml";"0";"Giorgio Armani";"Femmes";"ACQUA DI GIOIA";"50 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/202811.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347772";"2028111";"14"
"347773";"45";"201772";"80.03";"1";"0";"ACQUA DI GIOIA de Giorgio Armani 201772";"Eau de Parfum Vaporisateur 100 ml";"0";"Giorgio Armani";"Femmes";"ACQUA DI GIOIA";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/201772.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347773";"201772";"14"
"3477731";"45";"2017721";"80.03";"1";"0";"ACQUA DI GIOIA de Giorgio Armani 2017721";"Eau de Parfum spray 100 ml";"0";"Giorgio Armani";"Femmes";"ACQUA DI GIOIA";"100 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/201772.jpg";"http://www.parfumreduc.com/product_info.php?products_id=347773";"2017721";"14"
"141826";"18";"118378";"37.48";"1";"0";"WINGS de Giorgio Beverly Hills 118378";"Eau de Toilette Vaporisateur 100 ml & Lotion Après-Rasage 100 ml";"28";"Giorgio Beverly Hills";"Hommes";"WINGS";"100 ml";"Gift Sets";"http://www.parfumwholesale.com/images/photos/118378.jpg";"http://www.parfumreduc.com/product_info.php?products_id=141826";"118378";"14"
"1418261";"18";"1183781";"37.48";"1";"0";"WINGS de Giorgio Beverly Hills 1183781";"Eau de Toilette spray 100 ml & Lotion Après-Rasage 100 ml";"28";"Giorgio Beverly Hills";"Hommes";"WINGS";"100 ml";"Gift Sets";"http://www.parfumwholesale.com/images/photos/118378.jpg";"http://www.parfumreduc.com/product_info.php?products_id=141826";"1183781";"14"
"349999";"50";"162719";"47.71";"1";"0";"GIORGIO de Giorgio Beverly Hills 162719";"Eau de Toilette Vaporisateur 90 ml & Lotion pour le corps 200 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO";"200 ml";"Gift Sets";"http://www.parfumwholesale.com/images/photos/162719.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349999";"162719";"14"
"3499991";"50";"1627191";"47.71";"1";"0";"GIORGIO de Giorgio Beverly Hills 1627191";"Eau de Toilette spray 90 ml & Lotion pour le corps 200 ml";"0";"Giorgio Beverly Hills";"Femmes";"GIORGIO";"200 ml";"Gift Sets";"http://www.parfumwholesale.com/images/photos/162719.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349999";"1627191";"14"
"349997";"50";"119530";"36.13";"1";"0";"GIORGIO de Giorgio Beverly Hills 119530";"Eau de Toilette Vaporisateur 120 ml";"1";"Giorgio Beverly Hills";"Hommes";"GIORGIO";"120 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/119530.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349997";"119530";"14"
"3499971";"50";"1195301";"36.13";"1";"0";"GIORGIO de Giorgio Beverly Hills 1195301";"Eau de Toilette spray 120 ml";"1";"Giorgio Beverly Hills";"Hommes";"GIORGIO";"120 ml";"Fragrances";"http://www.parfumwholesale.com/images/photos/119530.jpg";"http://www.parfumreduc.com/product_info.php?products_id=349997";"1195301";"14"
